Country of origin,Hazard,Frequency of identity and physical checks (%),CN code / TARIC,Intended use,Product
Bolivia (BO),Aflatoxins,50,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Bolivia (BO),Aflatoxins,50,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
Bolivia (BO),Aflatoxins,50,2008 11 10,Food and feed,Peanut butter
Bolivia (BO),Aflatoxins,50,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
Bolivia (BO),Aflatoxins,50,ex 1208 90 00 20,Food and feed,Groundnut flours and meals
Bolivia (BO),Aflatoxins,50,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil "
Brazil (BR),Salmonella,20,ex 0904 11 00 10,Food – neither crushed nor ground,Black pepper (Piper) 
China (CN),Pesticide residues,20,ex 0813 40 95 10 ; ex 0810 90 75 10,"Food – fresh, chilled or dried",Goji berries (wolfberries) (Lycium barbarum L.) 
China (CN),Salmonella,20,ex 0904 22 00 11,Food – crushed or ground,Sweet peppers (Capsicum annuum) 
China (CN),Pesticide residues,20,0902,Food,"Tea, whether or not flavoured "
Dominican Republic (DO),Pesticide residues,20,0709 30 00,Food – fresh or chilled,Aubergines (Solanum melongena) 
Dominican Republic (DO),Pesticide residues,50,0709 60 10 ; 0710 80 51,"Food – fresh, chilled or frozen",Sweet peppers (Capsicum annuum)
Dominican Republic (DO),Pesticide residues,50,ex 0709 60 99 20 ; ex 0710 80 59 20,"Food – fresh, chilled or frozen",Peppers of the Capsicum species (other than sweet)
Dominican Republic (DO),Pesticide residues,50,ex 0708 20 00 10 ; ex 0710 22 00 10,"Food – fresh, chilled or frozen","Yardlong beans (Vigna unguiculata ssp. sesquipedalis, Vigna unguiculata ssp. unguiculata) "
Egypt (EG),Pesticide residues,20,0709 60 10 ; 0710 80 51,"Food – fresh, chilled or frozen",Sweet peppers (Capsicum annuum)
Egypt (EG),Pesticide residues,20,ex 0709 60 99 20 ; ex 0710 80 59 20,"Food – fresh, chilled or frozen",Peppers of the Capsicum species (other than sweet) 
Ethiopia (ET),Salmonella,50,1207 40 90,Food,Sesamum seeds 
Georgia (GE),Aflatoxins,50,0802 21 00,Food,"Hazelnuts, in shell"
Georgia (GE),Aflatoxins,50,0802 22 00,Food,"Hazelnuts, shelled"
Georgia (GE),Aflatoxins,50,ex 1106 30 90 40,Food,"Flour, meal and powder of hazelnuts"
Georgia (GE),Aflatoxins,50,ex 2008 19 19 30 ; ex 2008 19 95 20 ; ex 2008 19 99 30,Food,"Hazelnuts, otherwise prepared or preserved "
Ghana (GH),Sudan dyes,50,1511 10 90 ; 1511 90 11 ; ex 1511 90 19 90 ; 1511 90 99,Food,Palm oil 
