Country of origin,Hazard,Frequency of identity and physical checks (%),CN code / TARIC,Intended use,Product
Argentina (AR),Aflatoxins,5,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Argentina (AR),Aflatoxins,5,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
Argentina (AR),Aflatoxins,5,2008 11 10,Food and feed,Peanut butter
Argentina (AR),Aflatoxins,5,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
Argentina (AR),Aflatoxins,5,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
Argentina (AR),Aflatoxins,5,ex 1208 90 00 20,Food and feed,Groundnut flours and meals 
Azerbaijan (AZ),Aflatoxins,20,0802 21 00,Food,Hazelnuts (Corylus sp.) in shell
Azerbaijan (AZ),Aflatoxins,20,0802 22 00,Food,Hazelnuts (Corylus sp.) shelled
Azerbaijan (AZ),Aflatoxins,20,ex 0813 50 39 70 ; ex 0813 50 91 70 ; ex 0813 50 99 70,Food,Mixtures of nuts or dried fruits containing hazelnuts
Azerbaijan (AZ),Aflatoxins,20,"ex 2007 10 10 70 ; ex 2007 10 99 40 ; ex 2007 99 39 05, 06 ; ex 2007 99 50 33 ; ex 2007 99 97 23",Food,Hazelnut paste
Azerbaijan (AZ),Aflatoxins,20,ex 2008 19 12 30 ; ex 2008 19 19 30 ; ex 2008 19 92 30 ; ex 2008 19 95 20 ; ex 2008 19 99 30 ; ex 2008 97 12 15 ; ex 2008 97 14 15 ; ex 2008 97 16 15 ; ex 2008 97 18 15 ; ex 2008 97 32 15 ; ex 2008 97 34 15 ; ex 2008 97 36 15 ; ex 2008 97 38 15 ; ex 2008 97 51 15 ; ex 2008 97 59 15 ; ex 2008 97 72 15 ; ex 2008 97 74 15 ; ex 2008 97 76 15 ; ex 2008 97 78 15 ; ex 2008 97 92 15 ; ex 2008 97 93 15 ; ex 2008 97 94 15 ; ex 2008 97 96 15 ; ex 2008 97 97 15 ; ex 2008 97 98 15,Food,"Hazelnuts, otherwise prepared or preserved, including mixtures"
Azerbaijan (AZ),Aflatoxins,20,ex 1106 30 90 40,Food,"Flour, meal and powder of hazelnuts"
Azerbaijan (AZ),Aflatoxins,20,ex 1515 90 99 20,Food,Hazelnut oil 
Brazil (BR),Aflatoxins,50,0801 21 00,Food,Brazil nuts in shell
Brazil (BR),Aflatoxins,50,ex 0813 50 31 20 ; ex 0813 50 39 20 ; ex 0813 50 91 20 ; ex 0813 50 99 20,Food,Mixtures of nuts or dried fruits containing Brazil nuts in shell. 
Brazil (BR),Aflatoxins,10,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Brazil (BR),Aflatoxins,10,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
Brazil (BR),Aflatoxins,10,2008 11 10,Food and feed,Peanut butter
Brazil (BR),Aflatoxins,10,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
Brazil (BR),Aflatoxins,10,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
Brazil (BR),Aflatoxins,10,ex 1208 90 00 20,Food and feed,Groundnut flours and meals 
China (CN),Aflatoxins,20,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
China (CN),Aflatoxins,20,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
China (CN),Aflatoxins,20,2008 11 10,Food and feed,Peanut butter
China (CN),Aflatoxins,20,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
China (CN),Aflatoxins,20,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
China (CN),Aflatoxins,20,ex 1208 90 00 20,Food and feed,Groundnut flours and meals 
Egypt (EG),Aflatoxins,20,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Egypt (EG),Aflatoxins,20,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
Egypt (EG),Aflatoxins,20,2008 11 10,Food and feed,Peanut butter
Egypt (EG),Aflatoxins,20,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
Egypt (EG),Aflatoxins,20,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
Egypt (EG),Aflatoxins,20,ex 1208 90 00 20,Food and feed,Groundnut flours and meals 
Ethiopia (ET),Aflatoxins,50,0904,Food – dried spices,Pepper of the genus Piper; dried or crushed or ground fruit of the genus Capsicum or of the genus Pimenta
Ethiopia (ET),Aflatoxins,50,0910,Food – dried spices,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices "
Ghana (GH),Aflatoxins,50,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Ghana (GH),Aflatoxins,50,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
Ghana (GH),Aflatoxins,50,2008 11 10,Food and feed,Peanut butter
Ghana (GH),Aflatoxins,50,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
Ghana (GH),Aflatoxins,50,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
Ghana (GH),Aflatoxins,50,ex 1208 90 00 20,Food and feed,Groundnut flours and meals 
Gambia (GM),Aflatoxins,50,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Gambia (GM),Aflatoxins,50,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
